header.stamp.sec,shoulder_pan_joint.position,shoulder_lift_joint.position,elbow_joint.position,wrist_1_joint.position,wrist_2_joint.position,wrist_3_joint.position,tcp_pose.position.x,tcp_pose.position.y,tcp_pose.position.z,tcp_pose.orientation.x,tcp_pose.orientation.y,tcp_pose.orientation.z,tcp_pose.orientation.w
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954669,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
1748954670,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-0.408,-0.9,-0.014,0.152
